=== Simulacion de particulas ===

tiempo,x0,y0,x1,y1,x2,y2,x3,y3
5.95,42.56,576,540.8,431.6,630,29,781,294.4
6,39.2,580,544.4,434.9,627,32.5,776,290.8
6.05,35.84,584,548,438.2,624,36,771,287.2
6.1,32.48,588,551.6,441.5,621,39.5,766,283.6
6.15,29.12,590,555.2,444.8,618,43,761,280
6.2,25.76,586,558.8,448.1,615,46.5,756,276.4
6.25,22.4,582,562.4,451.4,612,50,751,272.8
6.3,19.04,578,566,454.7,609,53.5,746,269.2
6.35,15.68,574,569.6,458,606,57,741,265.6
6.4,12.32,570,573.2,461.3,603,60.5,736,262
6.45,10,566,576.8,464.6,600,64,731,258.4
6.5,13.36,562,580.4,467.9,597,67.5,726,254.8
6.55,16.72,558,584,471.2,594,71,721,251.2
6.6,20.08,554,587.6,474.5,591,74.5,716,247.6
6.65,23.44,550,591.2,477.8,588,78,711,244
6.7,26.8,546,594.8,481.1,585,81.5,706,240.4
6.75,30.16,542,598.4,484.4,582,85,701,236.8
6.8,33.52,538,602,487.7,579,88.5,696,233.2
6.85,36.88,534,605.6,491,576,92,691,229.6
6.9,40.24,530,609.2,494.3,573,95.5,686,226
6.95,43.6,526,612.8,497.6,570,99,681,222.4
7,46.96,522,616.4,500.9,567,102.5,676,218.8
7.05,50.32,518,620,504.2,564,106,671,215.2
7.1,53.68,514,623.6,507.5,561,109.5,666,211.6
7.15,57.04,510,627.2,510.8,558,113,661,208
7.2,60.4,506,630.8,514.1,555,116.5,656,204.4
7.25,63.76,502,634.4,517.4,552,120,651,200.8
7.3,67.12,498,638,520.7,549,123.5,646,197.2
7.35,70.48,494,641.6,524,546,127,641,193.6
7.4,73.84,490,645.2,527.3,543,130.5,636,190
7.45,77.2,486,648.8,530.6,540,134,631,186.4
7.5,80.56,482,652.4,533.9,537,137.5,626,182.8
7.55,83.92,478,656,537.2,534,141,621,179.2
7.6,87.28,474,659.6,540.5,531,142,616,175.6
7.65,90.64,470,663.2,543.8,528,140.25,611,172
7.7,94,466,666.8,547.1,525,138.5,606,168.4
7.75,97.36,462,670.4,550.4,522,136.75,601,164.8
7.8,100.72,458,674,553.7,519,135,596,161.2
7.85,104.08,454,677.6,557,516,133.25,594,157.6
7.9,107.44,450,681.2,560.3,513,131.5,596.5,154
7.95,110.8,446,684.8,563.6,510,129.75,599,150.4
8,114.16,442,688.4,566.9,507,128,601.5,146.8
8.05,117.52,438,692,570.2,504,126.25,604,143.2
8.1,120.88,434,695.6,573.5,501,124.5,606.5,139.6
8.15,124.24,430,699.2,576.8,498,122.75,609,136
8.2,127.6,426,702.8,580.1,495,121,611.5,132.4
8.25,130.96,422,706.4,583.4,492,119.25,614,128.8
8.3,134.32,418,710,586.7,489,117.5,616.5,125.2
8.35,137.68,414,713.6,588,486,115.75,619,121.6
8.4,140,410,717.2,584.7,483,114,621.5,118
8.45,137.312,406,720.8,581.4,480,112.25,624,114.4
8.5,134.624,402,724.4,578.1,477,110.5,626.5,110.8
8.55,131.936,398,728,574.8,474,108.75,629,107.2
8.6,129.248,394,731.6,571.5,471,107,631.5,103.6
8.65,126.56,390,735.2,568.2,468,105.25,634,100
8.7,123.872,386,738.8,564.9,465,103.5,636.5,96.4
8.75,121.184,382,742.4,561.6,462,101.75,639,92.8
8.8,118.496,378,746,558.3,459,100,641.5,89.2
8.85,115.808,374,749.6,555,456,98.25,644,85.6
8.9,113.12,370,753.2,551.7,453,96.5,646.5,82
8.95,110.432,366,756.8,548.4,450,94.75,649,78.4
9,107.744,362,760.4,545.1,447,93,651.5,74.8
9.05,105.056,358,764,541.8,444,91.25,654,71.2
9.1,102.368,354,767.6,538.5,441,89.5,656.5,67.6
9.15,99.68,350,771.2,535.2,438,87.75,659,64
9.2,96.992,346,774.8,531.9,435,86,661.5,60.4
9.25,94.304,342,778.4,528.6,432,84.25,664,56.8
9.3,91.616,338,782,525.3,429,82.5,666.5,53.2
9.35,88.928,334,785.6,522,426,80.75,669,49.6
9.4,86.24,330,788,518.7,423,79,671.5,46
9.45,83.552,326,784.4,515.4,420,77.25,674,42.4
9.5,80.864,322,780.8,512.1,417,75.5,676.5,38.8
9.55,78.176,318,777.2,508.8,414,73.75,679,35.2
9.6,75.488,314,773.6,505.5,411,72,681.5,31.6
9.65,72.8,310,770,502.2,408,70.25,684,28
9.7,70.112,306,766.4,498.9,405,68.5,686.5,24.4
9.75,67.424,302,762.8,495.6,402,66.75,689,20.8
9.8,64.736,298,759.2,492.3,399,65,691.5,17.2
9.85,62.048,294,755.6,489,396,63.25,694,14
9.9,59.36,290,752,485.7,393,61.5,696.5,17.6
9.95,56.672,286,748.4,482.4,390,59.75,699,21.2
10,53.984,282,744.8,479.1,387,58,701.5,24.8
10.05,51.296,278,741.2,475.8,384,56.25,704,28.4
10.1,48.608,274,737.6,472.5,381,54.5,706.5,32
10.15,45.92,270,734,469.2,378,52.75,709,35.6
10.2,43.232,266,730.4,465.9,375,51,711.5,39.2
10.25,40.544,262,726.8,462.6,372,49.25,714,42.8
10.3,37.856,258,723.2,459.3,369,47.5,716.5,46.4
10.35,35.168,254,719.6,456,366,45.75,719,50
10.4,32.48,250,716,452.7,363,44,721.5,53.6
10.45,29.792,246,712.4,449.4,360,42.25,724,57.2
10.5,27.104,242,708.8,446.1,357,40.5,726.5,60.8
10.55,24.416,238,705.2,442.8,354,38.75,729,64.4
10.6,21.728,234,701.6,439.5,351,37,731.5,68
10.65,19.04,230,698,436.2,348,35.25,734,71.6
10.7,16.352,226,694.4,432.9,345,33.5,736.5,75.2
10.75,13.664,222,690.8,429.6,342,31.75,739,78.8
10.8,10.976,218,687.2,426.3,339,30,741.5,82.4
10.85,10,214,683.6,423,336,28.25,744,86
10.9,12.688,210,680,419.7,333,26.5,746.5,89.6
10.95,15.376,206,676.4,416.4,330,24.75,749,93.2
11,18.064,202,672.8,413.1,327,23,751.5,96.8
11.05,20.752,198,669.2,409.8,324,21.25,754,100.4
11.1,23.44,194,665.6,406.5,321,19.5,756.5,104
11.15,26.128,190,662,403.2,318,17.75,759,107.6
11.2,28.816,186,658.4,399.9,315,16,761.5,111.2
11.25,31.504,182,654.8,396.6,312,14.25,764,114.8
11.3,34.192,178,651.2,393.3,309,12.5,766.5,118.4
11.35,36.88,174,647.6,390,306,10.75,769,122
11.4,39.568,170,644,386.7,303,9,771.5,125.6
11.45,42.256,166,640.4,383.4,300,8,774,129.2
11.5,44.944,162,636.8,380.1,297,9.75,776.5,132.8
11.55,47.632,158,633.2,376.8,294,11.5,779,136.4
